airwatch,ap,ap_id,ap_mac,apfw,available_bw,avg_mcs,avg_nclients,avg_noise,avg_rssi,avg_snr,avg_util_all,avg_util_non_wifi,avg_util_rx_in_bss,avg_util_rx_other_bss,avg_util_tx,avg_util_unknown_wifi,band,bandwidth,channel,chanutil_intf,client_dl,client_tx_airtime,client_txrx_bw,clientmac,clientname,cloud_rtt,connect_time_sec,device_type,download,dt,dual_band,epoch,error_rate,family,free_bw,hostname,id,idle_time,ip,is_guest,jitter,key_mgmt,last_seen,latency,mac,manufacture,map_id,mcs_drops,mcs_type,model,num_locating_aps,num_locating_aps.1,num_streams,org,os,ping,pq_airuse,pq_dropped,pq_length,pq_max_used,pq_requested,pq_retried,pq_rtsfail,pq_throughput,proto,protocol,psk_id,resultdate,roam_count,rssi,rt,rx_bitrate,rx_bps,rx_bytes,rx_pkts,rx_rate,rx_retries,site,site_id,snr,ssid,sum_active,sum_txpkts,total_aps,total_clients,tput,tput_airtime_rx,tput_airtime_tx,tput_d,tput_d_heuristic,tput_derr,tput_max,tput_max_u,tput_theta0,tput_theta1,tput_theta2,tput_u,tput_uerr,ttl,tx_bitrate,tx_bps,tx_bytes,tx_pkts,tx_power,tx_power_max,tx_rate,tx_retries,upload,uptime,username,vlan_id,wan_dl,wirelink_dl_mbps,wirelink_dl_measure,wirelink_up_mbps,wirelink_up_measure,wlan_id,x,y,wirelink_dl,download_norm
,5c-5b-35-0e-07-44,00000000-0000-0000-1000-5c5b350e0744,5c5b350e0744,apfw-0.2.13527-braavos-f67e,8.00728376,0,5,-90,-55.0,35.0,0.28805116,0.000478477,0.049334917,0.10668775,0.13053544,0.001014567,5,,36,0.108180795,229.6480258,0,0,UNKNOWN,UNKNOWN,315.5,4580,UNKNOWN,9.124,UNKNOWN,False,1536050764,0.000246945,Mac,14.238976800000001,jagdishm-mac,7831c1ced06c,0,172.29.101.131,False,1.5555555559999998,WPA2-PSK/CCMP,1536050755,0.8085434890000001,7831c1ced06c,Apple,e34a0dc6-edcd-11e6-abf5-0242ac110003,0,UNKNOWN,,1,,3,b425e4f2-ad72-11e6-8a23-0242ac110004,Sierra,10,1799.0,0,576,4.0,798.0,9.0,4.0,207,ac,ac,,UNKNOWN,0,-55,1536050700,600.0,9587265.0,670815264,675079,600.0,4868,40.0,c4a51a2c-ad73-11e6-b0cc-0242ac110004,34,Mist-TAL-staging,1,15544,,,0.250404,0.5147539560000001,0.5147539560000001,229.6480258,,89.22632768,446.1316384,446.1316384,449.13764969999994,5,-80.0,206.6832232,89.22632768,291,600.0,250404.0,677799031,678111,0,8,600.0,17038,8.593,4580,,1,90.0,90.0,,46.02147897,,35f2a6c8-edce-11e6-94a2-0242ac110003,346.0039407,470.9908639,90.0,0.10137777777777779
,5c-5b-35-0e-07-44,00000000-0000-0000-1000-5c5b350e0744,5c5b350e0744,apfw-0.2.13527-braavos-f67e,7.93028964,0,9,-90,-57.0,33.0,0.25355074,0.000705998,0.009415251999999999,0.1380308,0.09994893,0.005449754,5,,40,0.144186551,135.6507053,0,0,UNKNOWN,UNKNOWN,290.875,2206,UNKNOWN,9.263,UNKNOWN,False,1536232425,0.002514086,,14.928985199999998,CPU-328,60672053de2c,8,172.29.101.150,False,13.55555556,WPA2-PSK/CCMP,1536232375,1.35746018,60672053de2c,Intel Corporate,e34a0dc6-edcd-11e6-abf5-0242ac110003,0,UNKNOWN,,1,,3,b425e4f2-ad72-11e6-8a23-0242ac110004,Windows 7,58,0.0,0,0,0.0,0.0,0.0,0.0,0,n,n,,UNKNOWN,0,-56,1536232260,6.0,0.0,223353973,235135,300.0,131,40.0,c4a51a2c-ad73-11e6-b0cc-0242ac110004,31,Mist-TAL-staging,0,18458,,,0.0,0.509804334,0.509804334,135.6507053,,53.21677209,266.0838605,266.0838605,288.12100489999995,5,-69.45541054,122.0856347,53.21677209,286,270.0,0.0,226581829,235684,0,8,270.0,2589,8.517999999999999,2266,,1,90.0,90.0,,46.15011259,,35f2a6c8-edce-11e6-94a2-0242ac110003,348.0068286,449.8848885,90.0,0.10292222222222222
,5c-5b-35-2e-1d-10,00000000-0000-0000-1000-5c5b352e1d10,5c5b352e1d10,apfw-0.5.16557-master-7a9c,9.9149591086,0,14,-90,-66.0,24.0,0.13768949,0.0025573275,0.008723620999999999,0.07892856,0.045938157,0.0015418176,5,40.0,132,0.0830277051,31.2652282715,0,0,UNKNOWN clientmac,UNKNOWN clientname,21.0,2964,UNKNOWN device_type,71.047,UNKNOWN dt,False,1549044090,0.006899059120189999,,17.2462102,Galaxy-C9-Pro,7c787e9232c8,0,10.2.11.32,False,30.3333333333,WPA2-PSK-FT/CCMP,1549044076,13.406896355,7c787e9232c8,Samsung Electronics Co.,2e8b48e5-2b94-422f-84c3-1722bf9baad4,0,UNKNOWN mcs_type,,1,1,1,9291176a-6e1e-11e5-9cdd-02e208b2d34f,Linux,58,1463.0,0,576,4.0,724.0,115.0,23.0,184,ac,ac,,UNKNOWN resultdate,UNKNOWN roam_count,-66,UNKNOWN rt,200.0,200.0,907051189,43262,2000.0,207960,,9291ba26-6e1e-11e5-9cdd-02e208b2d34f,24,Rivendell,1,UNKNOWN sum_txpkts,21.0,108.0,0.223232,0.569079459,0.569079459,31.2652282715,UNKNOWN tput_d_heuristic,28.730385784299997,143.651928921,143.651928921,152.387411715,5,-80.0,73.5744257954,28.730385784299997,286,150.0,150.0,3074538920,2234726,0,8,1500.0,437438,19.391,2964,,1,180.0,180.0,UNKNOWN wirelink_dl_measure,55.6803559133,UNKNOWN wirelink_up_measure,85c35eda-b25d-424e-8c5b-6e4f1771d905,921.967549648,1020.43410628,180.0,0.39470555555555553
,5c-5b-35-0e-57-a8,00000000-0000-0000-1000-5c5b350e57a8,5c5b350e57a8,apfw-0.3.14845-cersei-76c1,8.502047847,0,10,-90,-56.0,34.0,0.23229258,0.00179974,0.0029191390000000003,0.17236917,0.036585975,0.018618548000000002,5,,36,0.192787458,21.98215866,0,0,UNKNOWN,UNKNOWN,252.375,4556,UNKNOWN,10.337,UNKNOWN,False,1538043380,0.0028482790000000004,,15.3541484,CPU-328,60672053de2c,1,172.29.9.18,False,5.444444444,WPA2-PSK/CCMP,1538043328,0.0,60672053de2c,Intel Corporate,e34a0dc6-edcd-11e6-abf5-0242ac110003,0,UNKNOWN,,1,,3,b425e4f2-ad72-11e6-8a23-0242ac110004,Windows 7,9,0.0,0,0,0.0,0.0,0.0,0.0,0,n,n,,UNKNOWN,UNKNOWN,-56,UNKNOWN,6.0,6.0,1199721053,122,60.0,435,40.0,c4a51a2c-ad73-11e6-b0cc-0242ac110004,34,Mist-TAL-staging,0,UNKNOWN,,,0.0,0.519936678,0.519936678,21.98215866,,51.79020778,258.9510389,258.9510389,274.69786780000004,5,-70.0,121.17432859999998,51.79020778,294,300.0,300.0,592411877,683562,0,15,3000.0,79994,34.689,4556,,1,90.0,90.0,,48.15710707,,35f2a6c8-edce-11e6-94a2-0242ac110003,704.6376567,455.7505353,90.0,0.11485555555555556
,5c-5b-35-0e-b2-f8,00000000-0000-0000-1000-5c5b350eb2f8,5c5b350eb2f8,apfw-0.5.16557-master-7a9c,6.574451674,0,17,-90,-68.0,19.0,0.3165901,0.005745976,0.004926796,0.2089768,0.038880292000000004,0.298060233,5,40.0,149,0.512783009,19.7200126648,0,0,UNKNOWN clientmac,UNKNOWN clientname,35.0,290,UNKNOWN device_type,7.8744,UNKNOWN dt,False,1549047362,0.027817801772699997,,13.668198,Galaxy-C9-Pro,7c787e9232c8,0,10.2.11.32,False,20.555555555599998,WPA2-PSK-FT/CCMP,1549047350,0.0,7c787e9232c8,Samsung Electronics Co.,2e8b48e5-2b94-422f-84c3-1722bf9baad4,0,UNKNOWN mcs_type,,9,9.0,1,9291176a-6e1e-11e5-9cdd-02e208b2d34f,Linux,68,0.0,0,0,0.0,0.0,0.0,0.0,0,ac,ac,,UNKNOWN resultdate,UNKNOWN roam_count,-71,UNKNOWN rt,6.0,6.0,59586532,52,71.0,37891,,9291ba26-6e1e-11e5-9cdd-02e208b2d34f,19,Rivendell,0,UNKNOWN sum_txpkts,21.0,115.0,0.0,0.39906891,0.39906891,19.7200126648,UNKNOWN tput_d_heuristic,13.786469846400001,68.93234923189999,68.93234923189999,153.12651071,5,-70.0,24.7578817246,13.786469846400001,288,60.0,60.0,131146793,96775,0,8,585.0,77399,13.075,349,,1,180.0,180.0,UNKNOWN wirelink_dl_measure,37.6423973172,UNKNOWN wirelink_up_measure,85c35eda-b25d-424e-8c5b-6e4f1771d905,778.7504503260001,1020.00091262,180.0,0.04374666666666666
,5c-5b-35-0e-07-44,00000000-0000-0000-1000-5c5b350e0744,5c5b350e0744,apfw-0.2.13527-braavos-f67e,5.39574896,0,11,-90,-65.0,32.0,0.43458936,0.001378793,0.006520949,0.53460618,0.07307604,0.029007386,5,,56,0.564992359,81.17627595,0,0,UNKNOWN,UNKNOWN,335.875,2422,UNKNOWN,2.7939,UNKNOWN,False,1535968369,0.000112321,iPad,11.308212800000002,Mist-dev-Ipad,e8b2ac7799db,0,172.29.101.120,False,1.4444444440000002,WPA2-PSK-FT/CCMP,1535968351,1.694594595,e8b2ac7799db,Apple,e34a0dc6-edcd-11e6-abf5-0242ac110003,0,UNKNOWN,Mini 4,1,,2,b425e4f2-ad72-11e6-8a23-0242ac110004,11.2.6,8,2.0,0,576,0.0,1.0,2.0,0.0,0,ac,ac,,UNKNOWN,0,-59,1535968260,24.0,1876661.0,323106605,256898,394.0,10211,40.0,c4a51a2c-ad73-11e6-b0cc-0242ac110004,30,Mist-TAL-staging,1,3515,,,0.000199,0.346869576,0.346869576,81.17627595,,46.80507117,234.02535580000003,234.02535580000003,251.80425219999998,5,-70.88708656,73.05864835,46.80507117,288,300.0,2074648.0,340578910,330159,0,8,283.0,21656,8.363,2484,,1,90.0,90.0,,37.46174945,,35f2a6c8-edce-11e6-94a2-0242ac110003,294.555438,462.1454202,90.0,0.031043333333333333
,5c-5b-35-0e-57-a8,00000000-0000-0000-1000-5c5b350e57a8,5c5b350e57a8,apfw-0.2.13527-braavos-f67e,7.42477638,0,18,-90,-61.0,29.0,0.19965883,0.000633732,0.084041275,0.005357916999999999,0.105293274,0.004332618,5,,56,0.010324267,214.7701083,0,0,UNKNOWN,UNKNOWN,245.0,2712,UNKNOWN,10.785,UNKNOWN,False,1536232967,0.001079108,Mac,16.0068234,AjayG1-mac,c4b301d1d371,0,172.29.9.52,False,8.444444444,WPA2-PSK/CCMP,1536232904,1.255490483,c4b301d1d371,Apple,e34a0dc6-edcd-11e6-abf5-0242ac110003,0,UNKNOWN,,1,,3,b425e4f2-ad72-11e6-8a23-0242ac110004,High Sierra,110,7.0,0,576,0.0,3.0,0.0,0.0,0,ac,ac,,UNKNOWN,0,-61,1536232860,24.0,2327.0,501583247,395562,24.0,26054,40.0,c4a51a2c-ad73-11e6-b0cc-0242ac110004,28,Mist-TAL-staging,1,31418,,,0.001137,0.477307053,0.477307053,214.7701083,,89.99243022,449.96215109999997,449.96215109999997,460.0281517,5,-80.0,193.29309750000002,89.99243022,276,450.0,1137.0,662865236,463197,8,8,450.0,20868,15.978,2712,,1,90.0,90.0,,54.79148571,,35f2a6c8-edce-11e6-94a2-0242ac110003,659.4717917,411.3244904,90.0,0.11983333333333333
,5c-5b-35-0e-57-a8,00000000-0000-0000-1000-5c5b350e57a8,5c5b350e57a8,apfw-0.3.14845-cersei-76c1,8.241425095,0,5,-90,-55.0,35.0,0.30156925,0.001203475,0.024263432,0.15588966,0.10165866,0.018554054,5,,36,0.17564718899999998,23.25039673,0,0,UNKNOWN,UNKNOWN,288.625,9864,UNKNOWN,37.965,UNKNOWN,False,1538126046,0.001177814,iPhone,13.968615,Jagga-iphone,a0d7959854ef,0,172.29.9.53,False,11.77777778,WPA2-PSK-FT/CCMP,1538126028,1.6729817619999998,a0d7959854ef,Apple,e34a0dc6-edcd-11e6-abf5-0242ac110003,0,UNKNOWN,7+,1,,2,b425e4f2-ad72-11e6-8a23-0242ac110004,11.2.1,10,4566.0,0,576,34.0,3427.0,686.0,243.0,36838,ac,ac,,UNKNOWN,UNKNOWN,-55,UNKNOWN,400.0,400.0,1692165706,14521,4000.0,68102,40.0,c4a51a2c-ad73-11e6-b0cc-0242ac110004,35,Mist-TAL-staging,1,UNKNOWN,,,37.006011,0.502587675,0.502587675,23.25039673,,57.61229453,288.06147269999997,288.06147269999997,312.3840414,5,-67.35884616,130.29853119999999,57.61229453,292,270.0,270.0,2304778823,1392041,0,15,2700.0,188631,10.792,9864,,1,90.0,90.0,,40.94556504,,35f2a6c8-edce-11e6-94a2-0242ac110003,800.6571481,517.8829424,90.0,0.4218333333333334
,5c-5b-35-2e-1d-10,00000000-0000-0000-1000-5c5b352e1d10,5c5b352e1d10,apfw-0.5.16557-master-7a9c,9.292181317999999,0,15,-90,-57.0,33.0,0.16803552,0.014732557,0.017012097,0.0867699,0.046016265,0.003504686,5,40.0,132,0.10500714300000001,22.3490371704,0,0,UNKNOWN clientmac,UNKNOWN clientname,17.875,5331,UNKNOWN device_type,155.97899999999998,UNKNOWN dt,False,1549046025,0.00181200774744,Mac,16.6392896,SandeshD-mac,f0189834e9fb,0,10.2.11.35,False,12.4444444444,WPA2-PSK/CCMP,1549045995,0.8145672061929999,f0189834e9fb,Apple,2e8b48e5-2b94-422f-84c3-1722bf9baad4,0,UNKNOWN mcs_type,,4,4,3,9291176a-6e1e-11e5-9cdd-02e208b2d34f,High Sierra,43,45.0,0,576,0.0,18.0,13.0,1.0,23,ac,ac,,UNKNOWN resultdate,UNKNOWN roam_count,-57,UNKNOWN rt,600.0,600.0,1713741000,6138,6000.0,65016,,9291ba26-6e1e-11e5-9cdd-02e208b2d34f,33,Rivendell,1,UNKNOWN sum_txpkts,21.0,112.0,0.024419999999999997,0.532768032,0.532768032,22.3490371704,UNKNOWN tput_d_heuristic,97.0353900994,485.17695049699995,485.17695049699995,505.686653255,5,-72.8180779567,232.638092179,97.0353900994,280,486.0,486.0,11386103137,4244350,0,8,4860.0,874234,16.578,5391,,1,180.0,180.0,UNKNOWN wirelink_dl_measure,65.4146838701,UNKNOWN wirelink_up_measure,85c35eda-b25d-424e-8c5b-6e4f1771d905,961.749115418,1086.74998692,180.0,0.8665499999999999
,5c-5b-35-0e-07-44,00000000-0000-0000-1000-5c5b350e0744,5c5b350e0744,apfw-0.2.13527-braavos-f67e,9.02299524,0,5,-90,-54.0,36.0,0.21550034,2.25e-05,0.04735519,0.08772947,0.08039322,0.0,5,,36,0.08775192300000001,256.54184130000004,0,0,UNKNOWN,UNKNOWN,331.75,4150,UNKNOWN,9.418,UNKNOWN,False,1536050339,0.00026528900000000004,Mac,15.6899932,jagdishm-mac,7831c1ced06c,0,172.29.101.131,False,3.777777778,WPA2-PSK/CCMP,1536050323,0.702735379,7831c1ced06c,Apple,e34a0dc6-edcd-11e6-abf5-0242ac110003,0,UNKNOWN,,1,,3,b425e4f2-ad72-11e6-8a23-0242ac110004,Sierra,6,1921.0,0,576,10.0,871.0,18.0,10.0,271,ac,ac,,UNKNOWN,0,-54,1536050280,600.0,8586282.0,608094811,605456,600.0,4650,40.0,c4a51a2c-ad73-11e6-b0cc-0242ac110004,37,Mist-TAL-staging,1,13234,,,0.31860700000000003,0.580049694,0.580049694,256.54184130000004,,88.45512514,442.27562570000003,442.27562570000003,444.9314452,5,-79.57590004,230.88765719999998,88.45512514,290,600.0,318607.0,620423959,618403,0,8,600.0,15557,9.429,4150,,1,90.0,90.0,,43.76722416,,35f2a6c8-edce-11e6-94a2-0242ac110003,346.4647901,472.0999576,90.0,0.10464444444444444
