tx_power_max,tput_airtime_tx,avg_util_rx_other_bss,avg_util_unknown_wifi,avg_util_non_wifi,pq_tpt_diff,avg_util_all,avg_nclients,airuse_by_len,retry_by_req,pq_air_diff,pq_airuse,pq_length,pq_max_used,pq_requested,pq_retried,pq_rtsfail,pq_throughput,wirelink_dl,tput_parametric,chanutil_intf,num_streams,band,avg_rssi,txrate_by_streams,rxrate_by_streams,txrate_by_wandl,rxrate_by_wandl,download,download_norm
8,0.22998438,0.20354657,0.097566284,0.001119589,10825.0,0.5344618,12,3.498263888888889,0.07548770144189991,1743.0,2015.0,576,21.0,1179.0,89.0,137.0,10940,90.0,101.21815322629095,0.302232443,3,5,-54.0,180.0,200.0,6.0,6.666666666666667,20.164,0.22404444444444446
8,0.40997952,0.18492153,0.11604723,0.000385711,0.0,0.34446720000000003,11,0.4722222222222222,0.08823529411764706,0.0,272.0,576,3.0,136.0,12.0,16.0,115,90.0,181.25881126804396,0.301354471,3,5,-54.0,200.0,200.0,6.666666666666667,6.666666666666667,26.127,0.2903
8,0.40997952,0.18492153,0.11604723,0.000385711,108.0,0.34446720000000003,11,0.4722222222222222,0.08823529411764706,260.0,272.0,576,3.0,136.0,12.0,16.0,115,90.0,181.25881126804396,0.301354471,3,5,-54.0,200.0,200.0,6.666666666666667,6.666666666666667,24.109,0.26787777777777777
8,0.5584431329999999,0.12381062,0.005935912,0.001000709,0.0,0.17950763,11,0.020833333333333332,0.0,0.0,12.0,576,0.0,5.0,0.0,0.0,7,90.0,247.9789107785953,0.13074724,3,5,-53.0,180.0,8.0,6.0,0.26666666666666666,26.939,0.2993222222222222
8,0.5584431329999999,0.12381062,0.005935912,0.001000709,12.0,0.17950763,11,0.020833333333333332,0.0,48.0,12.0,576,0.0,5.0,0.0,0.0,7,90.0,247.9789107785953,0.13074724,3,5,-53.0,150.0,200.0,5.0,6.666666666666667,19.182,0.2131333333333333
8,0.568301364,0.10633081,0.006515071,0.000595653,29948.0,0.16855404,11,0.10416666666666667,0.36,7414.0,60.0,576,0.0,25.0,9.0,0.0,19,90.0,253.71973122350963,0.113441534,3,5,-54.0,180.0,8.0,6.0,0.26666666666666666,29.24,0.3248888888888889
8,0.523389663,0.10507058,0.005696804000000001,0.00095793,29964.0,0.21845593,11,12.975694444444445,0.01982189026141913,7462.0,7474.0,576,41.0,3481.0,69.0,119.0,29967,90.0,234.32289655612735,0.111725314,3,5,-54.0,200.0,108.0,6.666666666666667,3.6,27.878,0.30975555555555556
8,0.469724607,0.17034276,0.070883796,0.001072118,11.0,0.27808377,11,0.020833333333333332,1.6666666666666667,89.0,12.0,576,0.0,6.0,10.0,0.0,3,90.0,211.37991789288077,0.242298674,3,5,-52.0,200.0,8.0,6.666666666666667,0.26666666666666666,35.178000000000004,0.3908666666666667
8,0.575068536,0.091194846,0.002384575,0.000977461,18.0,0.16103496,11,0.1753472222222222,0.06,49.0,101.0,576,3.0,50.0,3.0,0.0,14,90.0,250.09829450417223,0.094556881,3,5,-54.0,180.0,8.0,6.0,0.26666666666666666,41.08600000000001,0.45651111111111126
8,0.274485087,0.13875595,0.056369882,0.00207696,12.0,0.49501657,11,0.09027777777777778,0.0,12.0,52.0,576,2.0,30.0,0.0,1.0,32,90.0,121.1527501549746,0.197202792,3,5,-54.0,200.0,135.0,6.666666666666667,4.5,33.217,0.3690777777777778
8,0.31275792,0.07394413,0.007543325999999999,0.000469688,12.0,0.4524912,11,0.06944444444444445,0.0625,5.0,40.0,576,0.0,16.0,1.0,2.0,20,90.0,140.62378581622787,0.08195714400000001,3,5,-53.0,200.0,200.0,6.666666666666667,6.666666666666667,38.377,0.42641111111111113
8,0.15824628,0.12653689,0.05478063,0.007311112,0.0,0.6241708,11,0.078125,0.0,0.0,45.0,576,0.0,18.0,0.0,1.0,32,90.0,71.32303581025975,0.188628632,3,5,-53.0,200.0,8.0,6.666666666666667,0.26666666666666666,21.215,0.23572222222222222
8,0.15824628,0.12653689,0.05478063,0.007311112,0.0,0.6241708,11,0.078125,0.0,0.0,45.0,576,0.0,18.0,0.0,1.0,32,90.0,71.32303581025975,0.188628632,3,5,-53.0,200.0,8.0,6.666666666666667,0.26666666666666666,35.215,0.39127777777777784
8,0.15824628,0.12653689,0.05478063,0.007311112,689.0,0.6241708,11,0.078125,0.0,4708.0,45.0,576,0.0,18.0,0.0,1.0,32,90.0,71.32303581025975,0.188628632,3,5,-53.0,200.0,200.0,6.666666666666667,6.666666666666667,28.004,0.3111555555555556
8,0.367548723,0.11202613,0.049289897,0.000429627,0.0,0.39161253,11,8.25173611111111,0.000851305334846765,0.0,4753.0,576,25.0,3524.0,3.0,183.0,721,90.0,165.98135681916423,0.16174565400000002,3,5,-53.0,200.0,200.0,6.666666666666667,6.666666666666667,18.658,0.2073111111111111
8,0.367548723,0.11202613,0.049289897,0.000429627,249.0,0.39161253,11,8.25173611111111,0.000851305334846765,814.0,4753.0,576,25.0,3524.0,3.0,183.0,721,90.0,165.98135681916423,0.16174565400000002,3,5,-53.0,180.0,200.0,6.0,6.666666666666667,35.456,0.3939555555555556
8,0.305594118,0.18969634,0.098913096,0.000844418,17073.0,0.46045098,11,9.664930555555555,0.005130597014925373,1630.0,5567.0,576,29.0,4288.0,22.0,162.0,970,90.0,139.15963633437852,0.289453854,3,5,-54.0,180.0,200.0,6.0,6.666666666666667,33.063,0.3673666666666667
8,0.23494725,0.16226687,0.09038507,0.000967536,12940.0,0.5289475,12,6.835069444444445,0.016516516516516516,1182.0,3937.0,576,9.0,1998.0,33.0,179.0,18043,90.0,107.63321366371882,0.253619476,3,5,-52.0,180.0,200.0,6.0,6.666666666666667,27.018,0.3002
8,0.1478484,0.14216077,0.04397673,0.000412074,4439.0,0.6157239999999999,13,4.782986111111111,0.051478260869565216,851.0,2755.0,576,63.0,2875.0,148.0,224.0,30983,90.0,67.6222598256408,0.186549574,3,5,-53.0,180.0,162.0,6.0,5.4,41.352,0.45946666666666663
8,0.422948502,0.18591365,0.052812573,0.0030824990000000003,25640.0,0.31005722,13,6.260416666666667,0.011177644710578843,3723.0,3606.0,576,42.0,2505.0,28.0,166.0,26544,90.0,194.57200933036938,0.241808722,3,5,-54.0,150.0,200.0,5.0,6.666666666666667,33.139,0.36821111111111116
8,0.259424568,0.09328585,0.007328236,0.00084658,0.0,0.49175048,13,12.723958333333334,0.009275618374558304,0.0,7329.0,576,20.0,4528.0,42.0,51.0,904,90.0,119.13451532914858,0.101460665,3,5,-54.0,180.0,200.0,6.0,6.666666666666667,39.583,0.4398111111111111
8,0.259424568,0.09328585,0.007328236,0.00084658,38382.0,0.49175048,13,12.723958333333334,0.009275618374558304,311.0,7329.0,576,20.0,4528.0,42.0,51.0,904,90.0,119.13451532914858,0.101460665,3,5,-54.0,180.0,200.0,6.0,6.666666666666667,25.558000000000003,0.28397777777777783
