,time,link,rx_fcserrors,admin_status,poe_status,poe_power,rx_packets,tx_packets
85,2019-12-04T01:31,FALSE,0,TRUE,FALSE,0,0,0
86,2019-12-04T01:32,FALSE,0,TRUE,FALSE,0,0,0
87,2019-12-04T01:33,FALSE,0,TRUE,TRUE,5.2,0,0
88,2019-12-04T01:34,TRUE,364,TRUE,TRUE,9.8,666,785
89,2019-12-04T01:36,FALSE,227,TRUE,TRUE,10,0,15
90,2019-12-04T01:37,FALSE,0,TRUE,TRUE,9.4,0,12
91,2019-12-04T01:38,TRUE,387,TRUE,TRUE,9.4,0,118
92,2019-12-04T01:39,FALSE,82,TRUE,TRUE,10.4,0,101
93,2019-12-04T01:41,TRUE,921,TRUE,TRUE,9.4,0,43
94,2019-12-04T01:42,TRUE,1905,TRUE,TRUE,9.4,0,326
95,2019-12-04T01:43,FALSE,632,TRUE,TRUE,9.4,0,103
96,2019-12-04T01:44,FALSE,876,TRUE,TRUE,9.2,0,122
97,2019-12-04T01:45,TRUE,0,TRUE,TRUE,10.6,0,18
98,2019-12-04T01:46,TRUE,1594,TRUE,TRUE,10.2,0,483
99,2019-12-04T01:47,FALSE,148,TRUE,TRUE,9.8,0,29
100,2019-12-04T01:48,TRUE,337,TRUE,TRUE,9.4,0,11
101,2019-12-04T01:49,TRUE,1232,TRUE,TRUE,9.4,0,23
102,2019-12-04T01:50,FALSE,360,TRUE,TRUE,9.6,0,18
103,2019-12-04T01:51,FALSE,942,TRUE,TRUE,11.4,0,22
104,2019-12-04T01:52,FALSE,1,TRUE,TRUE,9.4,0,16
105,2019-12-04T01:53,FALSE,2002,TRUE,TRUE,9.8,0,28
106,2019-12-04T01:54,FALSE,3314,TRUE,TRUE,9.2,0,351
107,2019-12-04T01:55,TRUE,225,TRUE,TRUE,9.2,0,19
108,2019-12-04T01:56,TRUE,1688,TRUE,TRUE,9.6,0,35
109,2019-12-04T01:57,FALSE,676,TRUE,TRUE,10.6,0,366
110,2019-12-04T01:58,TRUE,741,TRUE,TRUE,10.4,0,282
111,2019-12-04T01:59,FALSE,730,TRUE,TRUE,9.4,0,82
112,2019-12-04T02:00,TRUE,841,TRUE,TRUE,9.2,0,17
113,2019-12-04T02:01,TRUE,1212,TRUE,TRUE,9.8,0,68
114,2019-12-04T02:02,TRUE,1794,TRUE,TRUE,9.4,0,16
115,2019-12-04T02:03,TRUE,3459,TRUE,TRUE,10.2,0,194
116,2019-12-04T02:04,TRUE,3443,TRUE,TRUE,11.2,0,173
117,2019-12-04T02:05,TRUE,3275,TRUE,TRUE,9.8,0,407
118,2019-12-04T02:06,TRUE,3527,TRUE,TRUE,10.4,0,833
119,2019-12-04T02:07,TRUE,2814,TRUE,TRUE,9.4,0,329
120,2019-12-04T02:08,TRUE,3225,TRUE,TRUE,9.6,0,137
121,2019-12-04T02:09,TRUE,2705,TRUE,TRUE,9.6,0,531
122,2019-12-04T02:10,TRUE,3085,TRUE,TRUE,9.2,0,740
123,2019-12-04T02:11,TRUE,2758,TRUE,TRUE,10.6,0,270
124,2019-12-04T02:12,TRUE,3705,TRUE,TRUE,9.8,0,349
125,2019-12-04T02:13,TRUE,3736,TRUE,TRUE,10.2,0,552
126,2019-12-04T02:14,TRUE,3169,TRUE,TRUE,9.4,0,198
127,2019-12-04T02:15,TRUE,2830,TRUE,TRUE,9.8,0,266
128,2019-12-04T02:16,FALSE,3006,TRUE,TRUE,9.4,0,107
